"","Location","variable","mean","lower","upper"
"1","Anhui","kappa",0.00739502223511839,0.00301581636862885,0.0117850530192872
"2","Anhui","beta",0.348902938417502,0.2882650803647,0.404515585352401
"3","Anhui","m",1677.27423532374,1502.39524753243,1943.74761736355
"4","Anhui","deviance",142.802628813654,138.719991252079,150.879365466862
"5","Anhui","R0",3.88152558860603,3.20693282438985,4.50021316145077
"6","Anhui","R(t)",1.49052937150838,1.38362498484704,1.5946148077829
"7","Anhui","PrEx",3.94792384985259,1.31321651328117,7.41590562886121
"8","Anhui","PeakSize",940.582655633233,908.95510630525,982.44624685603
"9","Anhui","PeakTime",3.202,3,4
"10","Beijing","kappa",0.0080300392520345,0.000677075924645719,0.0172659626008993
"11","Beijing","beta",0.303726100208279,0.185237326017642,0.394038098816245
"12","Beijing","m",704.835963218128,580.035580546203,1039.87802993321
"13","Beijing","deviance",128.499921223358,124.659081663139,136.595270645653
"14","Beijing","R0",3.37893580155305,2.06075484535492,4.38365171235888
"15","Beijing","R(t)",1.31497908288507,1.11489360482184,1.49049253347278
"16","Beijing","PrEx",5.73108749822694,0.310274361806562,17.6923537238243
"17","Beijing","PeakSize",367.01447572249,352.763559691646,395.130368308676
"18","Beijing","PeakTime",3.144,2,6
"19","Chongqing","kappa",0.0156901965160071,0.00973094411677002,0.0213764101519525
"20","Chongqing","beta",0.197530140440635,0.120590310667319,0.281170533524801
"21","Chongqing","m",1348.54687084271,954.505228251072,2339.57198973153
"22","Chongqing","deviance",133.248752259903,129.208727820001,140.663981313904
"23","Chongqing","R0",2.19751171520316,1.34156043143737,3.12800638936603
"24","Chongqing","R(t)",1.13414359661034,0.945154654031281,1.29533337385753
"25","Chongqing","PrEx",17.9564956832244,7.83609331537969,31.7984755591709
"26","Chongqing","PeakSize",538.444867248357,507.905645571467,599.935570211811
"27","Chongqing","PeakTime",4.59,3,9
"28","Fujian","kappa",0.0196154258303228,0.00769656521770551,0.0297861752390841
"29","Fujian","beta",0.152392423957209,0.0691767861672698,0.252751565910683
"30","Fujian","m",920.27888029383,510.748038625218,2438.06423135558
"31","Fujian","deviance",123.276869042332,119.336746463518,130.750660684301
"32","Fujian","R0",1.69535715515182,0.769587859774575,2.81184697123017
"33","Fujian","R(t)",0.928028001189784,0.625088333471382,1.16230659833719
"34","Fujian","PrEx",29.6581409434546,13.2412191572198,53.0231793731891
"35","Fujian","PeakSize",292.508159257327,271.262154174521,342.110581028763
"36","Fujian","PeakTime",5.41633333333333,2,15
"37","Gansu","kappa",0.0121047968639706,0.00329003600522014,0.0236617594357999
"38","Gansu","beta",0.206245100989255,0.0870323567763475,0.35746001677099
"39","Gansu","m",326.262819149825,156.827364288968,1011.65210761656
"40","Gansu","deviance",101.82218563935,97.8707985780151,109.1083676846
"41","Gansu","R0",2.29446516170204,0.96823007967862,3.97672260455385
"42","Gansu","R(t)",1.12465714301215,0.735392284121865,1.49404425408435
"43","Gansu","PrEx",18.2657458906652,2.5661020269314,42.9308243301406
"44","Gansu","PeakSize",97.313502120683,84.4705277353239,136.374206402842
"45","Gansu","PeakTime",6.17766666666667,1,19
"46","Guangdong","kappa",0.00911361429487238,0.00463846127026007,0.0134167103845003
"47","Guangdong","beta",0.384087458753296,0.343171688463994,0.427575221907479
"48","Guangdong","m",2016.34622233797,1916.05974640924,2135.06343305251
"49","Guangdong","deviance",143.572350547885,139.653501227062,151.448758722482
"50","Guangdong","R0",4.2729514006833,3.81776575485359,4.75675032264082
"51","Guangdong","R(t)",1.13303274190877,1.06615820938252,1.20268556728621
"52","Guangdong","PrEx",3.87829742281419,1.78990957218455,6.16913311824237
"53","Guangdong","PeakSize",1208.36412583969,1194.77069082477,1224.70768318136
"54","Guangdong","PeakTime",1.90433333333333,1,2
"55","Guangxi Zhuang","kappa",0.0107617609816145,0.00471867057785765,0.0174203473927657
"56","Guangxi Zhuang","beta",0.191365053587264,0.105430495839909,0.297755112441781
"57","Guangxi Zhuang","m",830.284330720902,429.814751851259,2088.31599678569
"58","Guangxi Zhuang","deviance",110.072572772734,105.940563666499,117.331036524564
"59","Guangxi Zhuang","R0",2.1289254703126,1.17290834315742,3.3125088980995
"60","Guangxi Zhuang","R(t)",1.25137431914447,0.98526565481819,1.48520268626884
"61","Guangxi Zhuang","PrEx",17.16273410837,4.52590237167849,34.2172426077987
"62","Guangxi Zhuang","PeakSize",259.042540776252,228.208241063219,333.699227308085
"63","Guangxi Zhuang","PeakTime",7.29366666666667,3,18
"64","Guizhou","kappa",0.00348954302674275,0.00051634172652332,0.00844476316753367
"65","Guizhou","beta",0.267557178554289,0.191841059925805,0.377120150996908
"66","Guizhou","m",671.681577062219,281.67210852469,1413.70904820951
"67","Guizhou","deviance",108.204329223592,104.91891918032,114.663338903774
"68","Guizhou","R0",2.9765585801143,2.13422101408695,4.19544049331526
"69","Guizhou","R(t)",2.09018422968086,1.72843174376914,2.46401828799242
"70","Guizhou","PrEx",5.92822649164654,0.513352024158413,13.9990508566893
"71","Guizhou","PeakSize",229.917707739919,148.174825318133,385.01665856722
"72","Guizhou","PeakTime",10.719,5,19
"73","Hainan","kappa",0.0053377009975575,0.00124496529493868,0.011750155841512
"74","Hainan","beta",0.192786021035566,0.121699220395021,0.301778824777258
"75","Hainan","m",838.935009152556,334.825446768552,1765.61720399517
"76","Hainan","deviance",109.670649819936,106.455299341421,116.304343177334
"77","Hainan","R0",2.14473365334533,1.35389698985975,3.35727247178043
"78","Hainan","R(t)",1.48126121998973,1.14020888045953,1.80388087779823
"79","Hainan","PrEx",12.7095351382484,1.37251574450859,27.5619072316432
"80","Hainan","PeakSize",215.463534724179,162.351599159711,312.968918236147
"81","Hainan","PeakTime",11.2623333333333,4,21
"82","Hebei","kappa",0.00591662983641241,0.00244303325761136,0.0116763067838776
"83","Hebei","beta",0.184035952327734,0.13227387167911,0.269023078634271
"84","Hebei","m",1578.39056333781,635.306844445246,2957.26932823098
"85","Hebei","deviance",123.417396841217,120.096398416054,130.835373383083
"86","Hebei","R0",2.0473896305476,1.47153939131371,2.99286663615016
"87","Hebei","R(t)",1.53199736457217,1.23566128518325,1.81616765928806
"88","Hebei","PrEx",15.4646214777306,6.09530405474124,26.3054175306668
"89","Hebei","PeakSize",385.922240244894,274.041180904105,555.182617376581
"90","Hebei","PeakTime",13.1823333333333,5,22
"91","Heilongjiang","kappa",0.00442967971370669,0.000208516330659866,0.0117125023563327
"92","Heilongjiang","beta",0.443024899109558,0.309306885435847,0.555146098823306
"93","Heilongjiang","m",655.380148290045,550.072531875058,876.25960530255
"94","Heilongjiang","deviance",140.679439568368,136.407280387889,149.746973547054
"95","Heilongjiang","R0",4.92862711355456,3.44102172368248,6.1759691614262
"96","Heilongjiang","R(t)",1.74338495660471,1.50412558277619,1.99511539042769
"97","Heilongjiang","PrEx",1.91447537363158,0.0641569149376807,6.37609077782754
"98","Heilongjiang","PeakSize",401.638910022097,376.233337050925,449.760846750945
"99","Heilongjiang","PeakTime",3.236,2,5
"100","Henan","kappa",0.0114491498395996,0.00732973202126799,0.0156037217750366
"101","Henan","beta",0.333234310402779,0.280843793073205,0.382635361683271
"102","Henan","m",2150.98079337051,1972.10711607476,2401.28468701243
"103","Henan","deviance",148.668315277623,144.626383759772,157.169013808468
"104","Henan","R0",3.70721298220224,3.12437142019822,4.25679690235776
"105","Henan","R(t)",1.30354796432502,1.21717457811215,1.39274064092477
"106","Henan","PrEx",6.22950275896548,3.46701149289773,9.72557422559613
"107","Henan","PeakSize",1165.64157712296,1140.35378541753,1199.77328494334
"108","Henan","PeakTime",2.81733333333333,2,3
"109","Hubei","kappa",0.00319994771671973,0.000451307285400475,0.00623579178777019
"110","Hubei","beta",0.416655305214715,0.366615445104063,0.462387806225578
"111","Hubei","m",60830.8695909311,55806.373679701,67696.7688959812
"112","Hubei","deviance",266.060629669449,262.128606081846,273.953673724796
